usaf,wban,name,country,state,call,lat,lon,elev,begin,end
007005,99999,CWOS 07005,"","","",,,"",20120127,20120127
007025,99999,CWOS 07025,"","","",,,"",20120127,20120127
007034,99999,CWOS 07034,"","","",,,"",20121024,20121106
007044,99999,CWOS 07044,"","","",,,"",20120127,20120127
007052,99999,CWOS 07052,"","","",,,"",20121129,20121130
007072,99999,CWOS 07072,"","","",,,"",20111202,20111202
007084,99999,CWOS 07084,"","","",,,"",20121214,20121217
008268,99999,WXPOD8278,AF,"","",32.95,65.567,+1156.7,20100519,20120323
008307,99999,WXPOD 8318,AF,"","",0,0,+8318.0,20100421,20100421
008400,99999,XM06,"","","",,,"",20090919,20111128
008401,99999,XM07,"","","",,,"",20090919,20121219
008403,99999,XM10,"","","",,,"",20090918,20140412
008405,99999,XM14,"","","",,,"",20090918,20120827
008406,99999,XM16,"","","",,,"",20090918,20111228
008409,99999,XM13,"","","",,,"",20091027,20100104
008417,99999,XM23,"","","",,,"",20101221,20111020
008418,99999,XM24,"","","",,,"",20101119,20160217
010000,99999,BOGUS NORWAY,NO,"",ENRS,,,"",20010927,20041019
010010,99999,JAN MAYEN(NOR-NAVY),NO,"",ENJA,70.933,-8.667,+0009.0,19310101,20170324
010013,99999,ROST,NO,"","",,,"",19861120,19880105
010016,99999,RORVIK/RYUM,NO,"","",64.85,11.233,+0014.0,19870116,19910806
010017,99999,FRIGG,NO,"",ENFR,59.98,2.25,+0048.0,19880320,20050228
010020,99999,VERLEGENHUKEN,NO,"","",80.05,16.25,+0008.0,19861109,20170324
010030,99999,HORNSUND,NO,"","",77,15.5,+0012.0,19850601,20170324
010050,99999,ISFJORD RADIO,SV,"","",78.067,13.633,+0009.0,19310103,20140523
010070,99999,NY-ALESUND,SV,"","",78.917,11.933,+0007.7,19730106,20170324
010110,99999,KVITOYA,SV,"","",80.067,31.5,+0010.0,19861118,20170324
010120,99999,"","","","",,,"",19741130,19751116
010140,99999,SENJA-LAUKHELLA,NO,"","",69.233,17.9,+0009.0,19730101,20140523
010150,99999,HEKKINGEN FYR,NO,"","",69.6,17.833,+0014.0,19800314,20170324
010170,99999,AKSELOYA,SV,"","",77.683,14.783,+0006.0,19730101,20170324
010190,99999,SVARTTANGEN,NO,"","",77.517,20.817,+0020.0,20100825,20140523
010250,99999,TROMSO,NO,"",ENTC,69.683,18.919,+0009.4,19730101,20170324
010260,99999,TROMSO,NO,"","",69.65,18.933,+0114.5,19970201,20170324
010270,99999,TROMSO-HOLT,NO,"","",69.65,18.9,+0020.0,20110928,20170324
010300,99999,KISTEFJELL,NO,"","",69.283,18.133,+0982.0,19510101,20170227
010320,99999,OVERBYGD,NO,"","",69.017,19.283,+0078.0,19730101,20140523
010350,99999,LYNGEN GJERDVASSBU,NO,"","",69.567,20.1,+0710.0,19730101,20170324
010435,99999,HASVIK,NO,"","",70.483,22.15,+0007.0,19750515,20111014
010460,99999,SORKJOSEN,NO,"",ENSR,69.787,20.959,+0004.9,19750905,20170324
010470,99999,KAUTOKEINO II,NO,"",ENKA,69.017,23.067,+0307.0,19730101,20170324
010490,99999,ALTA,NO,"",ENAT,69.976,23.372,+0002.7,19730101,20170324
010510,99999,SUOLOVUOPMI,NO,"","",69.583,23.533,+0374.0,19730102,20140523
010550,99999,FRUHOLMEN FYR,NO,"","",71.1,23.983,+0014.2,19310101,20170324
010620,99999,HOPEN ISLAND,NO,"",ENHO,76.5,25.067,+0010.0,19550101,20170324
010630,99999,KISTRAND III,NO,"","",70.45,25.217,+0006.0,19730101,19870715
010680,99999,HONNINGSVAG/VALAN,NO,"",ENHV,71.017,25.983,+0014.0,19800604,20170324
010720,99999,"","","","",,,"",19740227,19740227
010740,99999,MEHAMN,NO,"",ENMH,71.033,27.833,+0013.0,19750905,20170324
010750,99999,RUSTEFJELBMA,NO,"","",70.4,28.2,+0011.2,19730101,20130531
010760,99999,TANABRU,NO,"","",70.217,28.167,+0032.0,20121121,20170324
010830,99999,BERLEVAG,NO,"",ENBV,70.867,29.033,+0013.0,19750905,20170324
010840,99999,PASVIK,NO,"","",69.45,30.033,+0027.0,19730101,20170324
010860,99999,BATSFJORD,NO,"",ENBS,70.6,29.693,+0149.4,20110928,20170324
010876,99999,NORNE OIL PLATFORM,NO,"",ENNE,66.017,8.083,+0090.0,20110101,20170324
010880,99999,VADSO,NO,"",ENVD,70.067,29.85,+0039.0,19750905,20170324
010881,99999,NARVIK III/FRAMNES,NO,"","",68.467,17.5,+0023.0,20050405,20111020
